	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FGBKPADF_00643	88.4701828984935	0.224492327944292	0.213988809009773	1.04908443101825	0.294139261010366	NA
FGBKPADF_00644	76.6490799325393	0.118689756482154	0.248858578215842	0.476936569087085	0.633407290619835	NA
FGBKPADF_00645	99.7046918913262	-0.0428626608826579	0.195328933342335	-0.219438360458031	0.826308590802478	NA
FGBKPADF_00646	179.721424301734	0.00428547529465753	0.168287055436829	0.0254652699432738	0.979683850068707	NA
FGBKPADF_00647	995.639177749229	-0.0343120125780192	0.092864877899377	-0.369483203490534	0.71176759054109	0.94992456364108
FGBKPADF_00648	259.738896865677	0.0211342035933811	0.138334554525987	0.152776026682552	0.878574903709581	NA
FGBKPADF_00649	2321.71781661607	-0.016627502162844	0.0822504100455889	-0.202157073182102	0.839793930862423	0.973825351697505
FGBKPADF_00650	4583.20133212067	-0.00458260087018823	0.0537056184996376	-0.0853281462575309	0.932000515649715	0.991454740388533
FGBKPADF_00651	42360.3599045982	0.0930339981697201	0.0596984401122254	1.55839914736178	0.119138658632245	0.630414256865904
FGBKPADF_00652	15844.4430529161	0.130718615938358	0.0677025949397383	1.93077704118594	0.0535106307511317	0.468759793371285
FGBKPADF_00653	5237.37107993845	0.185400136188968	0.0591969076047111	3.13192265763243	0.00173665617873882	0.0996627994819095
FGBKPADF_00654	8125.22973796633	0.0550813536470467	0.094301011411513	0.584101409121492	0.559152086833315	0.912469179639351
FGBKPADF_00655	11552.9464997937	0.0332109979182743	0.101649619572514	0.32672033656341	0.743879417306684	0.960716922799113
FGBKPADF_00656	12283.8699144947	0.106022557573703	0.0843400598743735	1.25708421041705	0.208723144024858	0.746124609803288
FGBKPADF_00657	3097.40518961951	0.277445599004992	0.0890996556384481	3.11387958816385	0.00184644827933211	0.0998502415669597
FGBKPADF_00658	8558.03122475552	0.168484029274992	0.0850416029097143	1.98119536215546	0.047569369139949	0.441482741643422
FGBKPADF_00659	212.605555391162	-0.0449072024826264	0.177043968060143	-0.253649999910593	0.799765965168655	NA
FGBKPADF_00660	772.94795483342	-0.00397389549946284	0.0943031188284074	-0.0421395978079334	0.966387413705835	0.996795070633785
FGBKPADF_00661	2183.04993138122	-0.0385419256101117	0.0628361932410935	-0.613371428505094	0.539630773493264	0.901462620408559
FGBKPADF_00662	1291.22129880105	0.0196309887972495	0.0839204744608426	0.233923710791332	0.815044205281066	0.969600008384762
FGBKPADF_00663	2948.75812763382	0.0223872418252565	0.0773582963451753	0.289396779439969	0.772277759248056	0.963488581734396
FGBKPADF_00664	5960.37391723735	-0.0450824221759169	0.0620613295929075	-0.726417279030854	0.467583001656958	0.8771005382307
FGBKPADF_00665	81.1023885493136	-0.14940887183188	0.250417459565086	-0.596639196369799	0.550748295969505	NA
FGBKPADF_00666	365.097946711084	0.0407683876795694	0.111491313483475	0.365664251373379	0.714615624648328	0.94992456364108
FGBKPADF_00667	1390.33796616297	-0.0592536003514764	0.075018014947853	-0.789858281276372	0.429610537766111	0.872929230773865
FGBKPADF_00668	2413.75912835914	0.206146358773321	0.150402741803056	1.37062899453826	0.170490639678618	0.69742063453365
