Geneid	T0	T10
IABCJNHA_00710	10	4
IABCJNHA_00711	76	51
IABCJNHA_00712	247	52
IABCJNHA_00713	2678	131
IABCJNHA_00714	35	1
IABCJNHA_00715	22	8
IABCJNHA_00716	100	10
IABCJNHA_00717	47	13
IABCJNHA_00718	49	8
IABCJNHA_00719	95	11
IABCJNHA_00720	20	6
IABCJNHA_00721	188	92
IABCJNHA_00722	68	46
IABCJNHA_00723	4	2
IABCJNHA_00724	0	0
IABCJNHA_00725	35	14
IABCJNHA_00726	34	14
IABCJNHA_00727	507	111
IABCJNHA_00728	1152	336
IABCJNHA_00729	837	235
IABCJNHA_00730	380	234
IABCJNHA_00731	42	14
IABCJNHA_00732	6	4
IABCJNHA_00733	4	1
IABCJNHA_00734	32	32
IABCJNHA_00735	112	88
IABCJNHA_00736	22	0
IABCJNHA_00737	172	53
IABCJNHA_00738	1111	466
IABCJNHA_00739	2722	1308
IABCJNHA_00740	858	535
IABCJNHA_00741	1705	1055
IABCJNHA_00742	2878	2063
IABCJNHA_00743	43	24
IABCJNHA_00744	1503	492
IABCJNHA_00745	159	24
IABCJNHA_00746	142	58
IABCJNHA_00747	1	8
IABCJNHA_00748	16	12
IABCJNHA_00749	80	21
IABCJNHA_00750	27	14
IABCJNHA_00751	111	14
IABCJNHA_00752	74	14
IABCJNHA_00753	10	18
IABCJNHA_00754	46	38
IABCJNHA_00755	692	758
IABCJNHA_00756	156	115
IABCJNHA_00757	108	50
IABCJNHA_00758	66	17
IABCJNHA_00759	14	4
IABCJNHA_00760	2	4
IABCJNHA_00761	2	8
IABCJNHA_00762	6	4
IABCJNHA_00763	203	73
IABCJNHA_00764	93	98
IABCJNHA_00765	12	5
IABCJNHA_00766	4	1
IABCJNHA_00767	2	0
IABCJNHA_00768	24	22
IABCJNHA_00769	387	345
IABCJNHA_00770	105	160
IABCJNHA_00771	444	543
IABCJNHA_00772	146	206
IABCJNHA_00774	68	85
IABCJNHA_00775	4	43
IABCJNHA_00776	10	20
IABCJNHA_00777	11	16
IABCJNHA_00778	0	10
IABCJNHA_00779	119	82
IABCJNHA_00780	286	110
IABCJNHA_00781	14	0
IABCJNHA_00782	12	9
IABCJNHA_00783	138	66
